"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
260492,"arran lakes - emerald gardens","arran lakes - emerald gardens","micro","NC","US"
340011,"arranmores","arranmores","micro","GA","US"
122299,"arrochar","arrochar","micro","NY","US"
261447,"arrow","arrow","micro","TN","US"
303872,"arrow creek","arrow creek","micro","OH","US"
184991,"arrow route","arrow route","micro","CA","US"
184227,"arrowhead","arrowhead","micro","FL","US"
185053,"arrowhead","arrowhead","micro","CA","US"
264414,"arrowhead","arrowhead","micro","NC","US"
240079,"arrowhead","arrowhead","micro","NC","US"
304469,"arrowhead - windsor park","arrowhead - windsor park","micro","OH","US"
303848,"arrowhead acres","arrowhead acres","micro","OH","US"
303198,"arrowhead estates","arrowhead estates","micro","OH","US"
264715,"arrowhead lake","arrowhead lake","micro","OH","US"
206376,"arrowhead lakes","arrowhead lakes","micro","PA","US"
187520,"arrowhead ranch","arrowhead ranch","micro","AZ","US"
187575,"arrowhead shores","arrowhead shores","micro","AZ","US"
352895,"arrowhead village","arrowhead village","micro","NJ","US"
340216,"arrowind","arrowind","micro","GA","US"
346887,"arrowood","arrowood","micro","GA","US"
307735,"arrowsic","arrowsic","micro","ME","US"
140504,"arrowsmith","greater arrowsmith","micro","IL","US"
140529,"arrowsmith","arrowsmith","micro","IL","US"
140589,"arrowsmith","arrowsmith township","superm","IL","US"
140546,"arrowsmith","arrowsmith township","macro","IL","US"
185054,"arrowview","arrowview","micro","CA","US"
352562,"arroyo","arroyo","micro","PR","US"
2077,"arroyo","arroyo municipality","county","PR","US"
356532,"arroyo","arroyo municipality","macro","PR","US"
200911,"arroyo blanca valley","arroyo blanca valley","micro","TX","US"
185461,"arroyo chico","arroyo chico","micro","AZ","US"
198384,"arroyo colorado estates","arroyo colorado estates","micro","TX","US"
198424,"arroyo gardens","arroyo gardens","micro","TX","US"
196754,"arroyo grande","greater arroyo grande","micro","CA","US"
196722,"arroyo grande","arroyo grande","micro","CA","US"
187014,"arroyo park","arroyo park","micro","CA","US"
182912,"arroyo seco estates - trailside","arroyo seco estates - trailside","micro","CA","US"
187165,"arroyo viejo","arroyo viejo","micro","CA","US"
351940,"arrozal","arrozal","micro","PR","US"
257126,"arsenal hill","arsenal hill","micro","SC","US"
180254,"artesia","artesia","micro","CA","US"
193400,"artesia","artesia","micro","FL","US"
195836,"artesia pilar","artesia pilar","micro","CA","US"
345985,"arthur","arthur","micro","IL","US"
345987,"arthur","greater arthur","micro","IL","US"
2256,"arthur","arthur county","county","NE","US"
339470,"arthurs vineyard - newcastle","arthurs vineyard - newcastle","micro","GA","US"
257176,"arthurtown","arthurtown","micro","SC","US"
202454,"artois","artois","micro","CA","US"
163488,"artondale","artondale","micro","WA","US"
164691,"arts district","arts district","micro","OK","US"
179188,"arts district","arts district","micro","LA","US"
198961,"arts district","arts district","micro","TX","US"
305629,"arundel","greater arundel","micro","ME","US"
305609,"arundel","arundel","micro","ME","US"
196832,"arundell","arundell","micro","CA","US"
122364,"arverne","arverne","micro","NY","US"
196618,"arvin","arvin","micro","CA","US"
196617,"arvin","greater arvin","micro","CA","US"
261886,"asbury","asbury","micro","NJ","US"
260423,"asbury","greater asbury","micro","MO","US"
228419,"asbury","asbury","micro","TN","US"
